question,answer
Were the Anglic languages evolved from a Germanic tribal and linguistic continuum?,Yes
Is Maharashtra the largest state by area in India?,No
What is Squirtle known as in Japan?,Zenigame
What feature does Eevee have exclusively when he was first introduced?,branched evolutions
"As of the 2011 census, what percent of the Indian population didn't speak Nepali as their first language?",98.74
"In 2005, how many newspapers in West Bengal were not in Bengali?",116
What Indian rebellion occured prior to the Indian Rebellion of 1857?,The Vellore Mutiny
"How is the ""foreign cake"" cooked?","It is toasted in the oven, covered with sesame seeds, and served"
What does wavelength of Jigglypuff's voices related to in enemy?,the brain waves
Are all Mandarin varieties have 4 tones?,No
Who murdered the last emperor Yang You of the Sui dynasty?,Li Yuan
Where did Emperor Wen confront the naval forces of the Chen?,Yangtze River
What is the fastest known nova?,U Scorpii
The brightest stars in Libra form what?,a quadrangle
How many inhabitants are there in Karnataka at the 2011 census?,"61,130,704"
What is the name of the constellations in latin which is located in the Northern celestial hemisphere between Pisces to the west and Taurus to the east?,ram
How many constellations were discribed by the 2nd centruy AD astronomer Ptolemy?,48
Is the Zhou dynasty (1046–256 BC) the earliest Chinese dynasty that could be verified from its own records after the 20th century?,No
What gives Charmander a major damage bonus?,Mega Evolution
What school of early Chinese history questions the historicity of the Xia dynasty?,the Skeptic School
In which century was Pluto discovered?,The 20th century
How many countries consider Russian as their official language except Russia?,3
Is Madhya Pradesh in central India?,Yes
How many strings does an extara have?,One
Who designed pikachu?,Atsuko Nishida and Ken Sugimori
During which Byzantine ruler's reign did Emperor Wen reuinfy China?,Maurice
Did the Chola clan rule Tamil Nadu in the Sangam era?,Yes
Where is Andhra Pradesh?,the south-eastern coastal region of India
What was conquered by the Sultanate of Gujarat in 1531?,Malwa Sultanate
Does the constellation whose name is crab in Latin has an area of 506 square degrees?,Yes
What year was Emperor Taiwu captured?,428
What group of Central Indo-Aryan Languages does Khariboli belong to?,Western Hindi
What is Psyduck known as in Japan?,Koduck.
Did Emperor Wen assemble thousands of boats to confront the naval forces of the Chen dynasty for his northern conquest?,No
Can Eevee evolve into eight different pokemons?,Yes
What is the concept of Magikarp evolving into Gyarados is based on?,The Chinese mythological tale of the carps leaping over the Dragon Gate
Was Shah Jahan the Subahdar of Gujarat?,Yes
Is Ahmedabad Railway Station located in Paris?,no
What was the former name of Tamil Nadu?,Madras state
Is Leo easily recognizable?,Yes
Is Cancer a constellation of the Zodiac?,Yes
"For Urdu publishers, how use of Devanagari help them?",Gives them a greater audience
Who established the Han Dynasty? ,Liu Bang
What poem contains a mixed use of Old Saxon and Old High German dialects?,the Hildebrandslied
Mewtwo made its live-action animated debut in what 2019 movie?,Detective Pikachu
"According to Hyginus, Aphrodite and Eros while visiting Syria fled from which monster by leaping into the Euphrates River?",Typhon
Can Pikachu communicate other than saying words other than syllables from his name?,No
Does Indonesian grammer regularly mark plurals?,No
May a final short vowel be stressed?,No
Was Charizard located ouside Japan for the first generation of Pocket Monsters games?,Yes.
Is it true that many variaties of Mandrins mutually intelligible?,Yes
"What district lies in the western part of the state and covers a geographical area of 3,714 square kilometres?",West Garo Hills
Is English the most spoken language in the world?,No
What is Bulbasaur's design based on?,Onions and frogs
Is the city of Visakhapatnam in northern or southern India?,Southern
What Super Smash Bros. games does Squirtle and Blastoise appear in?,Brawl and Ultimate.
Did Wang Mang prevent Xiongnu from invading China?,Yes
Was the 4 military expeditions into Goguryeo one of the factors that causes the Sui to fall?,Yes
What is the eighth-most populous country subdivision of the world?,West Benegal
What was the native language in the Delhi region of India?,Khariboli
Were does the first printed mention of the name Rajasthan appear?,In the 1829 publication Annals and Antiquities of Rajasthan or the Central and Western Rajpoot States of India.
The Liang dynasty was preceded by which dynasty?,The Southern Qi dynasty
Which type of Pokémon is bulbasaur?,Grass
Did the three major Chinese philosophies begin in Zhou dynasty?,Yes.
What is the first pokemon in the Pokedex?,Bulbasaur
Did Rajput kings accept Mughal suzerainty during Akbar's reign?,Yes
What is the state animal of Kerala?,The elephant
"What is the distance, in light years, from Earth to the Red Spider Nebula?",The Red Spider Nebula is located at a distance of about 4000 light-years from Earth.
What did Liu Shao's assassination of his father in 453 CE do?,Raise indignation across the empire
What percetange of Chinese population are able to speak Standard Mandarin?,Over 80%
Is Mandarin natively spoken by most of eastern China?,No
What is the official language of the People's Republic of China?,Mandarin
What is the brightest star in Virgo?,Spica
Who developed the Pokémon  series?,Game Freak
How many languages has Portuguese has provided loanwords to?,21
Did Prithviraj Chauhan defeat the invading Muhammad Ghori in the Last Battle of Tarain?,No
Is the Sarabeswara (Shiva) Temple titled Great Living Chola Temples among the UNESCO World Heritage Sites?,No
When did  the oldest group of Jews in India reach Kerala?,The 10th century BCE
"After the partition, the Punjab region was split into which two countries?",Pakistan and India
Did Christiannity largely replace Buddism in Punjab?,No
How long did the attempts of Gun to stop the flooding of the Yellow River last?,nine years
Is Li Bai one of China's most famous poets?,Yes
What does it mean to be a compact Shapley class II cluster?,it is highly concentrated and dense at its nucleus
Is NGC 7293 close to Earth?,Yes.
Is October a winter month in Andhra Pradesh?,No
Were the Greeks the first to discover the Scorpius constellation?,No.
Is the father of Yu the Great appointed by Emperor Yao to stop the flooding?,Yes
What percentage of Bangladeshis do not Bengali as their first language?,2%
Is Andhra Pradesh the largest state?,No.
In what generation is the Galarian Champion Leon?,VIII
Are events concerning the Yin dynasty mentioned in Zuo Zhuan?,Yes
Is German one of the major languages of the world?,Yes
Why was there an exponential growth in large estates after the abandonment of the equal-field system?,poor forced to sell their land to the wealthy
Is Portuguese an official language of NATO?,Yes
How many evolutions does Eevee have?,8
Did Snorlax appear before Episode 40in the Pokémon anime?,No
What is the reward for winning a Pokémon Contest?,Ribbons
Which city is the gateway of the Thar desert?,Jodhpur
Why did Afghan take over?,The Mughal power weakened
What three countries are full members of La Francophonie?,"Vietnam, Laos, and Cambodia"
Is squirtle the main character in the movie Detective Pikachu?,No
Is Portuguese taught in schools in Uruguay?,Yes
Why does the Omega Nebula have many names?,observers have differed greatly in how they view the nebula
Are phrases made up of clauses?,No
Did Charizard appear in all entry of the Super Smash Bros?,Yes.
Did Venusur appear in Pokémon games Red and Green in Japan?,Yes
How did the alliance between the Jin Dynasty and Tuboa affect these states?,It allowed them to remain partial allys and tributary states even after prince Tuoba passed away
Did Squirtle evolve in the main series games?,Yes
What is the largest group of people in Uttar Pradesh?,Hindus
Does Soenjono Dardjowidjojo believe that Indian is a trully national language?,No
What month does the sun first appear in Aries?,April
What year did the Old Portuguese period end? ,1516
Where is the Low Malay was commonly used?,marketplaces and ports of the archipelago
How many distinct syllables does Standard Chinese have?,"About 1,200"
When was Urdu recognized as the sole national language of Pakistan?,1973
"Why did recently established northern states refer Sima Rui's empire as ""Langya""?",Sima Rui's titles was the prince of Langya
Is running a verb past particle?,No
Who was the dominant global power following the Second World War?,The United States
Who is Pikachu's companion?,Ash Ketchum
"Who had ""slightly surpassed Venusaur in terms of popularity"" since Red and Blue, according to IGN's Pokémon Chick?",Pokémon Charizard
Who founded the Jin dynasty?,Sima Yan
What was considered dishonorable during marriages in the Han era?,"A lack of betrothal gifts, known as bridewealth and dowry"
What is the Japanese word for mystery or miracle?,fushigi
When did the Jin dynasty start?,266
Did multiple generations of extended family members did not occupy the same house in the Han era?,No
What is the magnitude of Gem (Pollux)?,1.14
Who is the fater of Emperor Yang?,Emperor Wen
How far is Geminga from Earth?,Approximately 550 light-years.
Which planetary nebula does NGC 6440 appear close to?,NGC 6445
The Russian alphabet consists of how many letters?,33
How many countries use French as official language,29
How much is Lucy Stevens paid in Detective Pikachu?,Nothing
What is the official language of Monaco? ,French
Which Indian state has five rivers based on its name?,Punjab
What year did the Mughal emperor Akbar conquer and annex the Sultanate of Gujarat to the Mughal Empire? ,1572
How many species must the player record information on before Cerulean Cave can be accessed?,Sixty
What is the magnitude of the brightest star in the Beehive Cluster?,Sixth
Where did Chen Baxian meet Xiao Bo to attack Lý Bôn?,Dayu Mountain
In what region were gender differences between Pikachu implemented?,Sinnoh.
Does M74 have clusters of young stars?,Yes.
Is Magikarp seen as useless?,Yes
Did Urdu ever have multiple standards?,Yes
Is Sigma Sagittarii the brightest star in the Sagittarius constellation?,No
What was the title of Sima Yan's father?,King of jin
When did the Sui dynasty absorb the Chen dynasty?,589
What is the Xin Dynasty known in Chinese historiography?,Xin Mang
Which language is the official language of the state of Karnataka?,Kannada
Is it true that the vast majority of Pakistani Punjabis are Sunni Muslims?,Yes
"When did Viz Media publish the children's picture book ""I'm Not Pikachu!""?",Ded 1999
How old is Beta Aquarii?,Around 56 million years
What forms the base of the Indonesian Language?,Low Malay.
Which dynasty did Zhou dynasty follow?,Shang dynasty.
Is Aries a relatively dim constellation?,Yes
Is the population density of Maharashtra higher than the National average?,No
Is English the only official language of the United Nations?,No
Which ruler of Girinagar built a dam on the Sudarshan lake?,Pushyagupta
Does Japan have more Portuguese-speaking immigrants than France?,No
Does Gujarat have a high Jewish population?,No
"Does more than one constellation cross the galactic equator, celestial equator, and ecliptic equator?",no
"Is NGC 6302, also called the Bug Nebula, located within in the constellation Scorpius?",Yes
"What French Creole language is the other official language of Haiti, other than French?",Haitian-Creole
How many presidents did Indonesia have in its first 53 years of independence?,2
Where were the research notes that say that scientists discovered a new Pokémon in a Guyana jungle?,In the ruined Pokémon Mansion on Cinnabar Island
Does the presence of several letters in the script for the same sound in the Bengali language results in inconsistencies?,Yes
How many troops did the Sui amass in 588 along the northern bank of the Yangtze River?,518000
What is the oldest Sangam work we have knowledge of?,the Tolkappiyam
Who was regent after Sima Yi's death ,Sima Shi
What is the capital of Meghalaya?,Shillong
Which is the most-used language on the Internet?,English
What part of the country is Luoyang in?,East
"Does all syllables consist of an initial consonant, a medial glide, a vowel, a coda, and a tone?",No
When did Chen Baxian established Chen dynasty?,557
Is Bengali the second most spoken Indo-European language?,No 
"In the anime, who has a Psyduck that she accidentally caught in Hypno's Naptime?",Misty
Are there 35 verified exoplanets oribiting the 29 stars in Virgo?,Yes.
What type of passive was formed by the addition of endings to the mood forms?,Internal
Does the latest classification of Chinese tend to follow provincial boundaries?,No
What do Chikorita and Bulbasaur have in common?,Both Starter Pokemon.
Are Magikarp's fins white?,Yes
"Rounded to the nearest month, for how many months during the year does the Sun appear in the constellation Aquariius, as of 2002?",1
Is Spanish an official language on Easter Island?,Yes
Was the name of Northern Wei come from Prince of Wei?,Yes
Is Madhya Pradesh the largest state in India by area?,No
Which city is the seventh largest city by population in India?,Kolkata
Did later Chinese dynasties use elements of Taizong's legal code?,yes
What do the terms Safaitic and Hismaic mean?,Old Arabic
Is Karnataka's unemployment rate more than the national average?,No.
Is Spanish spoken in some major American cities?,Yes
In Nepal	 is Urdu a registered regional dialect? ,Yes
When did Liu Jun die?,464CE
What does Psyduck use to scratch if threatened?,Claws
How many stars of first or second magnitude are there in Leo constellation?,Four
Which country has the largest Russian speakers in the world in 2010?,Russia
What is the three-circle model?,"The inner circle has large communities of native English speakers, the outer circle has small communities of native speakers, and the expanding circle has English as a foreign language"
What percentage of Angola speaks Portuguese fluently?,85%
Is Classical Arabic prescriptive?,Yes
Does Gujarat contain one of the largest and most prominent archaeological sites in India?,Yes
Where can you find Asiatic lions in the wild?,Gir Forest National Park
Has a burial site in modern Beijing been found with utensils from the Erligang culture?,Yes
Was the nationalization of iron industries in the Han dynasty permanent?,No
Does Karnataka have less nationally protected monuments than Uttar Pradesh?,Yes
How many national parks and wildlife sanctuaries are in Rajasthan?,Four
What is the Liang dynasty?,An imperial dynasty of China and the third of the four Southern dynasties during the Northern and Southern dynasties period
How many major dialect regions exit in England?,Four
What is Sagittarius commonly represented as?,A centaur pulling back a bow
What is the official language of Kerala?,Malayalam
What region of Italy is French considered an official language of?,Aosta Valley region
Who set up the fengjian system?,The Duke of Zhou.
Is the future subjunctive mood still commonly used in Galician?,No
Is Eridanus water-related constellations?,Yes
What are the closest regions of active star formation in the Taurus constallation?,Taurus-Auriga complex
Is Virgo the largest constellation in the sky?,No.
What emotion Jigglypuff feel when it inflate its body like a balloon or flatten its body?,angry
Which two stars were regarded as minor gods and were called Meshlamtaea and Lugalirra?,Castor and Pollux
Coud poor people join government bureaucracies by taking exam?,Yes
Is the e silent in cake?,Yes
What is the major religious group in Pakistan,Punjabi Muslims
Who voiced Pikachu in the first version of the anime?? ,Ikue Ōtani
What is the modern symbol for Cancer?,The pincers of a crab
Does Nepali have additional official language status in all of West Bengal?,No
Did the Liu Song dynasty suffer from incompetent emperors?,Yes
Is Li Yuan voluntarily retired?,No
Did Emperor prefer Northern culture?,No
What is the closest known white dwarf?,Van Maanen's Star
"In the games, Mewtwo is consistently noted as what?",Being one of the strongest opponents
Is Pokémon Snap part of the main Pokémon game series?,No.
Who received a Bulbasaur from Professor Oak in the Pokémon Adventures manga?,the character Red
How many sovereign states use English as an official language?,59
When did spoke-wheeled chariots appear in China?,Around 1200 BC
Who was Tipu Sultan's father?,Haidar Ali
When was Uttar Pradesh established?,In 1950.
What are sometimes referred to as the Cat's Eyes?,λ Sco and υ Sco
What does Virgo mean in Latin?,Maiden
"Which Pokémon was the primary  mascot to make the early comic  book series more ""engaging""?",Clefairy
Is pollution threatening animals in Karnataka?,Yes
"In Pokémon Red and Blue, who is Mewto's parent creature?",Mew
Is the largest zodiac constellation prominent in the spring sky in the northern hemisphere?,Yes
What are the three major seasons in Madhya Pradesh?,"Summer, Monsoon, and Winter"
Who voices Squirtle in Japanese?,Rikako Aikawa
Is Indonesian the official and national language of Indonesia?,Yes
Has Charizard saved both Ash and Pikachu's lives,Yes
How far is Ranthambore National Park from Sawai Madhopur Railway Station?,7 km
Who fasted to death in 1952?,Potti Sreeramulu
In which present day Indian state was the ancient city of Lothal located?,Gujarat
Is a lot of the religious diversity within Punjabis a recent change?,no
Were all the Pokémon games where Psyduck appears available worldwide?,No
Who is constantly stunned by its headache?,Psyduck
Did Emperor Wen use naval forces in his campaign to conquer the Chen dynasty?,Yes
How many branches are Germanic languages traditionally subdivided into?,three
How many unprotected monuments are in Karnataka?,250000
When was the establishment date of the Zhou dynasty?,1046 BC
What region is Snorlax from?,Kanto
Has Pikachu ever been featured in a music video?,Yes
Which Bengali word was derived from the ancient kingdom of Banga?,Bongo
Did the Escapist listed Squirtle as 30th of their favorite Pokémon,No
Who did Muhammad Ghori defeat at the Second Battle of Tarain?,Prithviraj
In what year was the Chen dynasty conquered by the Sui dynasty?,589
Which dynasty overthrew the Xia dynasty?,Shang Dynasty
Does German use a significant amount of loanwords from Greek?,Yes
What famous Wang Tong work was published posthumously?,The Explanation of the Mean
Did PokéPark Wii: Pikachu's Adventure faithfully represent Magikarp's moves?,yes
Who attempted and failed to conquer Gujarat and annex it to his empire in 1197?,Qutbuddin Aibak
What group of anime episodes does Charmander first appear in?,Pokémon Indigo League
Who owns the Eevee that was experimented on by Team Rocket?,Red
What was Liu Yu's career?,Generals
Who designed all the Eeveelutions except for Jolteon and Flareon?,Atsuko Nishida.
Does Psyduck only live in lakes?,No.
What is the name given to the flame at the end of a Charmander's tail?,Lizard Pokemon
Who is English named after?,The Angles
When is the sun considered to be in the sign Leo?,July 23 to August 22
Is Kerala very religiously diverse?,Yes.
How many World Heritage sites is Uttar Pradesh home to?,Three
Did Wang Mang become a more influential political figure than the others in his family?,Yes 
Who succeeded Lý Bôn?,Lý Thiên Bảo
Squirtle is voiced in Japanese by who?,Rikako Aikawa.
When did Pikachu first appear in Japanese video games?,1996
What is the trend in the popularity of the Urdu language?,There is a decline in popularity
Do Karnataka's public health services satisfy the entire state?,No
Where does the earliest identifiable reference to Aries as a distinct constellation come from?,The boundary stones that date from 1350 to 1000 BC.
In what year the Kerala government introduced free sex reassignment surgery?,2016
Which is the second official language of the Indian state of Jharkhand?,Bengali
Is Standard Mandarin Chinese one of the official languages of the United Nations?,yes
When was Equatorial Guinea accepted as a part of The Community of Portuguese Language Countries?,July 2014
Is Venusaur capable of Mega Evolution? ,Yes
What is the estimated total number of deported people from East Taihangshan to Datong during the reign of Emperor Daowu?,460000
Was the last Sui emperor Yang Guang a poet?,Yes.
How far away is the star Fumalsamakah?,492 lightyears
"What influenced Pajasthani cooking, so they prefer food that could last for several days and could be eaten without heading? ",the war-like lifestyles of its inhabitants and the avaiability of ingredients in this arid region
What is between Aquarius and Aries?,Pisces
"Besides Bengali, are there any other official languages in Bangladesh?",No.
Why didn't Javanese adopted as the national language?,lack of the ability to unite the diverse Indonesian population as a whole
What was at the center of the Grand Canal?,Luoyang
What is the most spoken language in the European Union? ,German
What invention led to the development of a number of printers' languages (Druckersprachen) aimed at making printed material readable and understandable across as many diverse dialects of German as possible?,the printing press
Who was Chen Shubao's mother?,Liu Jingyan.
Is Virgo the largest constellation in the sky?,No
Did European traders reach West Bengal in the early 11th centuries?,No
What were the stars of Pisces incorporated into in Chinese astronomy?,Several constellations.
In what Italianian province is German the official language?,South Tyrol
What is the total number of Spanish speakers?,538 million
Who was allowed to attend to Chen Shubao’s recovery period?,Consort Zhang.
Did the Xiongnu defeat the Hans?,No
How many Southern dynasties came before the Liang dynasty?,two
Was more than 90% of the Armenian population fluent in Russian in 2006?,No
Which English syllable part is mandatory and consists of a vowel sound?,Syllable nucleus
How many Urdu newspapers does India have? ,405
Is Spica a bright star?,Yes
Who did Hou sack in 549?,Jiankang.
What is the highest civilian award bestowed  by the Government of Karnataka?,Karnataka Ratna
"Which cluster is primarily made up of yellow elliptical and spiral galaxies, at a distance of 3.6 billion light years from Earth?",CL 0024+1654
Who conquered England in 1066?,William the Conqueror
El Nath and which eclipsing binary star are separated by 8°?,Zeta Tauri
What is the Geminids?,A bright meteor shower
Who voiced Mewtwo in English in the film?,Jay Goede
Why were Chen Shubao's generals disgruntled?,Chen Shubao transferred much of the military command to civilian officials
Which part of Maharasthra did the British govern as a part of the Bombay Presidency?,Western Maharasthra
Which two person voiced Psyduck?,Rikako Aikawa and Michael Haigney
Was there regulation on agriculture in the Zhou dynasty?,Yes
"In the anime series, how  old does Ash Ketchum turn?",10
Is the copula missing in the present tense in Russian?,Yes
"Who authored ""New Songs of Yutai""?",Xu Ling
Which mountain range is also known as the Sahyadri Range?,Western Ghats
What caused M87 to be a major radio source?,Black hole
Who is the Greek astronomer that identified 48 constellations in the second century?,Ptolemy
Is the Mandarin used as the daily language in Hong Kong and Macau?,No
Is Gujarat the tenth most populous state?,No
How far from the Earth is the Omega Nebula located?,4890 light-years
When did the dynasty and central government went into decline?,by the latter half of the 9th century
Is West Bengal one of the top five most populous states?,Yes
Who designed the Charizard for the first generation of Pocket Monsters games Red and Green?,Atsuko Nishida
Who founded Jin dynasty?,Sima Yan
Did the author of Zhongshuo hold office as Secretary of Shuzhou after 617?,No
What is a Portuguese-speaking person or nation referred to as?,Lusophone
In what episode did the Eevee of the youngest Kimono girl evolve?," Espeon, Not Included"
Which country in African speaks Portuguese?,Mozambique
What is the first dynasty in traditional Chinese historiography?,Xia dynasty
Is the Zhou dynasty the longest regime in Chinese history?,Yes.
Who gained Mumbai in the early 17th century?,British East India Company
Was Urdu widely spoken in Pakistan before it became the official langauge in Pakistan?,Yes
Is the public perception of Bulbasaur positive?,Yes
What was Eevee going to be originally named before the English versions of the games were released?,Eon
Most Mandarin varieties have how many tones?,4
Who created Psyduck?,Ken Sugimori
Is the Milky Way on the edge of the Sagittarius constellation?,No.
What country has the most native English speakers?,the United States
"On which date did the Karnataka state government advise colleges to guarantee that ""clothes which disturb equality, integrity, and public law and order should not be worn""?",5 February 2022
Was the Vijayanagara Empire established by Harihara Raya?,Yes
What is event is held at the Shipra River every 12 years?,Simhastha Kumbh Mela
What is Jigglypuff's role and personality in Pokemon manga?,"It helps defend Clefairy from Jessie and James, and sings and cooks with the main character"
Was the northern China divided before 439?,Yes
Which tree is used for living root bridges?,Ficus elastica tree
Were there any important differences between Zhou dynasty and medieval Europe?,Yes.
What is the area of Cancer?,506 square degrees
How many students in Goa were learning Portuguese in 2014?,"1,500"
Was the Malay language popularly spoken in Indonesia during the 1600s?,No
When was Bengal partitioned into West Bengal and East Bengal?,1947
Was Northern Wei the second of the Northern dynasties?,No
When did Wu Mingche capture Shouyang?,573
Whose nickname inspired Snorlax's habit of constantly eating and sleeping?,Nishino's.
When was Alexander's Invasion of Punjab?,326 BCE
Why is Virgo easy to locate?,The bright start Spica
What is the name of the fan wiki named after bulbasaur?,Bulbapedia
Did the Northern Wei dynasty go to war with the Song dynasty?,Yes
Who voiced Mewtwo in Pokémon: The First Movie?,Jay Goede
Was the development of Icelandic and Faroese influenced by a long series of invasions by other peoples and languages?,No.
Did Atsuko Nishida design Flareon?,No
What game features a Pikachu as the only available Starter Pokémon?,Pokémon Yellow
Is Rajasthan a state in northern India?,Yes
Where was Gramática de la lengua castellana written?,Salamanca
Why did the highland plateus of Meghalaya have rich soil?,Abundant rain
Is the Standard Mandarin used outside of the Chinese community of Singapore?,No
What years did the Salankayanas rule?,300 to 440 CE
Was Xiao Cha installed as emperor of Liang before Emperor Yuan was killed?,No
Who was the son of Emperor Fei and Empress Wang of the Chen dynasty?,Chen Zhize
When does the Sun appear in the constellation Libra?,From October 31 to November 22
"In the 16th century, which Mughal general conquered Bengal?",Islam Khan
Is Karnataka the largest state in India by area?,No
Does Rajasthan rank 1st among Indian states in human development index?,No
What is the name of the coastal area in West Bengal?,Sundarbans
The lion's tail is marked by which star?,Beta Leonis
"Is Spanish (español or castellano, Castilian) a Romance language?",Yes
What is the largest Indian state by area?,Rajasthan.
What are the major seasons of Madhya Pradesh?,"Summer, monsoon, winter"
In spring 585	 the governor of which province ambushed and killed Li Yun?,Feng Province
Did Hou kill Xiao Zhengde and attempt to suppress those who would not submit to him?,Yes
Did the Tang dynasty want to enhance the dependency on aristocratic families?,No
Who introduced the name Urdu for the first time?,Ghulam Hamadani Mushafi 
What is the historical and current capital of Punjab?,Lahore
What is the magnitude of 40 Leonis?,4.8
Who established Han dynasty?,Liu Bang.
What is the difference between Bulbasaur's typing and the other Generation 1 starter's typing?,Dual Typing.
Is Virgo a constellation of the zodiac?,Yes.
"In the fourth generation of the Pokemon video game series, can Mega Mewtwo X be activated by giving Mewtwonite X to Mewtwo?",No
What does Magikarp evolve into?,Gyarados
Is Antares a bright star?,Yes
Was Chen a dynasty after Liang?,Yes.
Is eevee Liz Finnegan's favorite Pokémon?,No
Did Shun trust Yu?,Yes
Has modern northern Sichuan ever had rebellion?,Yes
What is the headquarters of the North Eastern Railway?,Gorakhpur
Did English descend from different ancester than Dutch?,No
Which two games of the Super Smash Bros. series does Charizard appear as a playable character? ,Super Smash Bros. Brawl and Super Smash Bros. Ultimate
Which Chinese era does the legend of Hua Mulan origiate from?,the Northern Wei era
What does the three-pointed fin on Magikarp back resemble?,A crown
Does Psyduck appear weak because it is weak?,No
Where was the most powerful bandit groups loacated?,along the Yellow River
What is the second-most populous state in India?,Maharashtra
What team created Pikachu?,Game Freak's character development team
Did Chen dynasty exist in 558?,Yes
What is the world's first-most spoken native language?,Mandarin
"Can ""won't"" be used to indicate usage of the future tense?",Yes.
What year did Western Wei launch a major attack on Jiangling,554
What was the Latin spoken in Gaul called?,Gallo-Romance
Does German have the highest number of consonants in comparsion with other languages?,No
Does Tamil Nadu have the largest economy in India?,No.
How many well-known star clouds does Saggitarius contain?,two
The qiaoren were free from what special poll tax?,diao
What move is learned by Magikarp at level 15 in Generation 2?,Tackle
Who is Jigglypuff voiced by in English?,Rachael Lillis
Did Ash Ketchum acquire Pikachu for his birthday? ,Yes
How many parties dominate politics in West Bengal?,4
Was capricornus explicitly recorded in the Babylonian star catalogues before 100 BCE?,No
What year did the Sui absorb the Chen dynasty?,589
Does any portraits of the Periodical Offering of Liang by the Emperor Yuan of Liang exist?,Yes
How many protruding teeth does Snorlax have?,2
What animal inspired Pikachu's design?,squirrels
How many stars form the body of “the Teapot” in Sagittarius?,Four.
Are penguins a common animal species present in Maharashtra?,No
What did Tomy do when they found needles in stuffing of Charizard soft toys?,Tomy replaced the toys with compensation or replacements
What can be an example of using German in official proceedings and literature?,The mittelhochdeutsche Dichtersprache.
When did local Chinese schools of Buddhist thoughts start to flourish?,During the late Six dynasties and the Sui dynasty
What does a Shapley class II mean?,The classification indicates that it is highly concentrated and dense at its nucleus
Does Indonesian have the status of a working language in Timor Leste?,Yes
Was Jiandi the first wife of Emperor Ku?,No
Who helped Yu the Great to control the Great Flood?,Xie
Yang Xiong made advancements in what field during the Han dynasty?,Philosophy
Who designed Charmander in Pokémon Red and Blue?,Atsuko Nishida
What color is a Psyduck?,Yellow
Is π Capricorni visible to telescope?,yes
Does Maharashtra have the highest amount of recorded forest area among all Indian states?,No
"Who murdered Rajyavardhana, the Buddhist king of Thanesar?",Shashanka
Which invasions into France greatly influenced the beginning of French? ,Germanic
Is Maharasthra the most populous state in India,No
"As of 2011, what percentage of West Bengal's religious population are Hindus?",70.54
What is the largest constellation in the zodiac?,Virgo
Why is Charizard iconic in the Pokémon Origins series?,It was the first Pokémon to Mega Evolve into Mega Charizard X and it helped beat Mewtwo
Who created mewtwo?,Ken Sugimori
Into which written script did oracle script and bronze script evolve?,seal script
Are local languages like Javanese spoken in formal education?,No
"How many native speakers do the Spanish language has, as of 202?",463 million
Is Acacia widely spread in the southeast of the range?,yes
How many native speakers does Spanish have?,500 million
In what game was the first Eevee Pokemon species introduced?,Pokemon Red and Blue
What philosophy did Duke of Zhou follow?,Confucianism
Did the Han dynasty force commoners to move to frontiers?,No
Is it true that Spanish is one of the most taught foreign language Alongside English and French?,Yes
Are different accents and dialects of English the same gramatically?,No.
Does the state of Meghalaya lack of mountains?,No
Were did the Andhras leave north India from?,The banks of River Yamuna.
Is Mandarin natively spoken by most of northern and southwestern China?,Yes
Where was the first capital of Western Jin?,Luoyang.
How tall is Pikachu? ,40 centimetres
Who founded Tang dynasty?,Li Yuan
What abou Psyduck tricks its enemies into thinking it is weak?,Its appearance
When was the court conference that convinced the majority that the Xiongnu realm will fall into chaos? ,134 BC
Which state has the second-largest arid region in India?,Karnataka
What is the national song of India?,Vande Matram
Is Urdu the official language of Pakistan in 1946?,no
Do Psyduck remember using their powers?,No
How many German speakers are there in Namibia?,"30,000"
What standard German-based pidgin language	 that is nearly extinct today	 evolved in Namibia? ,Namibian Black German
Why did Tsunekazu Ishihara state that Mewtwo would be popular amongst North American audiences?,"Because of their preference for strong, powerful characters"
Are Hindi words traditionally divided into six principal categories according to their etymology?,No
At what evolution stage does Bulbasaur's bulb turn into a large flower?,Venusaur
Prior to the third century BCE	 most of Karnataka formed part of what empire?,Nanda
When did Emperor Ping of Han die?,6 AD
Who is the best Pokémon in the Red and Blue games?,Mewtwo
What is the world's most spoken native language?,Mandarin
Was the capital of the Western Jin initially in Chang'an?,No
Is the only Indian state to have a Christian majority Meghalaya? ,No
What have Hindu Brahmins in Bengal been practising since the first millenium BCE?,Sanskrit
Is Spanish the most used language on internet websites?,No
Does Jigglypuff only appear in Nintendo games?,no
Does Snorlax participate in the Sumo Conference?,Yes.
Is the article used for singular and plural nouns the same?,No
"Who compiled and authored ""The Oriental Linguist""?",John Gilchrist
Is Spanish currently an official language of the Phillippines?,No
Why would the Jigglypuff run out of air?,If the audience does not fall asleep
What rod do you need to fish with to find Magikarp?,Old or Good Rod
What state did Meghalaya used to be part of?,Assam
Is Munshi Premchand considered as the most revered figure in the world of Hindi fiction and progressive movement because he introducting romanticism in Hindi Prose Literature?,No
Did Misty's Psyduck evolve in the anime?,No
When did Charmander return?,2019
What dynasty preceded the Tang dynasty?,Sui dynasty 
Is Uttar Pradesh a state in northern India?,Yes
Is French the most widely spoken language in the EU?,No
Is the language adopted as the third official court language in the Emirate of Abu Dhabi a protected language in South Africa?,Yes
The recent excavations in which archaeological site suggested that Alagankulam was one of the important trade centers of the Sangam Era?,Alagankulam
What did the Sui unify?,The Northern and Southern dynasties
